,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,CANALS,,,,,,,,,,,,,
1,Contra Costa,6672.0,10959.0,10792.0,787.0,11993.0,20589.0,24787.0,25240.0,17525.0,8821.0,6736.0,5755.0,150656.0
2,Delta-Mendota,140204.0,109191.0,115509.0,54873.0,89283.0,122074.0,251069.0,267602.0,244451.0,241156.0,233849.0,179955.0,2049216.0
3,Actual Fed Dos Amigos,,,,,,,,,,,,,0.0
4,Madera,0.0,0.0,956.0,0.0,20470.0,47189.0,40606.0,21838.0,4255.0,0.0,0.0,0.0,135314.0
5,Friant-Kern,35447.0,37925.0,11738.0,8519.0,37522.0,87470.0,112524.0,89561.0,47245.0,34642.0,3925.0,0.0,506518.0
6,Corning,557.0,171.0,133.0,452.0,3051.0,4796.0,4548.0,4600.0,2995.0,1492.0,60.0,0.0,22855.0
7,Folsom-South,1541.0,1414.0,1561.0,1638.0,1845.0,2225.0,3023.0,2815.0,2380.0,2146.0,1589.0,1299.0,23476.0
8,Tehama-Colusa,8993.0,8938.0,4558.0,5298.0,43183.0,48481.0,62016.0,50068.0,22777.0,15487.0,2892.0,0.0,272691.0
9,CACHUMA PROJECT,,,,,,,,,,,,,
10,Tecolete Tunnel,2193.0,2057.0,2251.0,1261.0,2321.0,2883.0,3079.0,3463.0,3341.0,3178.0,1919.0,994.0,28940.0
11,ORLAND PROJECT,,,,,,,,,,,,,
12,Stony Creek,3190.0,0.0,0.0,310.0,14120.0,16689.0,18510.0,18141.0,15046.0,8043.0,500.0,0.0,94549.0
13,North Canal,974.0,0.0,0.0,20.0,4268.0,5500.0,6508.0,6813.0,5806.0,2912.0,197.0,0.0,32998.0
14,South Canal,2216.0,0.0,0.0,290.0,9852.0,11189.0,12002.0,11328.0,9240.0,5131.0,303.0,0.0,61551.0
15,SOLANO PROJECT,,,,,,,,,,,,,
16,Putah South Canal,3289.0,4064.0,6958.0,7547.0,30290.0,34882.0,37552.0,34023.0,21029.0,10788.0,1329.0,3725.0,195476.0
