,Water User,Jan **,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,"Tracy, City of",0,0,0,0,548,844,880,766,766,825,478,0,"5,107"
1,Byron Bethany ID (formerly Plainview WD),1,85,322,357,545,467,455,522,361,189,93,2,"3,399"
2,West Side ID,0,0,0,0,42,86,219,93,0,0,0,0,440
3,Banta Carbona ID,0,365,0,0,0,0,45,0,7,0,0,0,417
4,West Stanislaus ID,0,"1,170",129,324,430,"2,250","5,090",517,0,856,486,0,"11,252"
5,Patterson WD,0,0,113,88,27,13,33,10,0,28,35,23,370
6,Del Puerto WD,161,"2,018","3,991","6,254","8,593","9,740","10,901","7,195","4,226","3,049","1,083",508,"57,719"
7,San Luis WD - Ag,49,688,657,726,"1,008","1,299","1,101",645,280,233,231,17,"6,934"
8,San Luis WD - M&I,1,2,5,14,21,20,25,20,19,17,6,4,154
9,Panoche WD - Ag,586,602,518,779,664,806,541,418,115,56,60,3,"5,148"
10,Panoche WD -  M&I,2,2,2,2,2,2,2,2,2,2,2,2,24
11,Eagle Field WD,0,43,0,95,287,225,212,62,72,1,1,0,998
12,Oro Loma WD,0,0,48,52,42,55,41,4,0,0,0,0,242
13,Mercy Springs WD,0,108,218,238,346,378,254,247,238,219,114,0,"2,360"
14,Newman Wasteway Recirculation,0,0,0,0,0,0,0,0,0,0,0,0,0
15,DWR Intertie @MP7.70-R,0,0,312,0,158,0,0,723,758,0,0,0,"1,951"
16,Total,800,"5,083","6,315","8,929","12,713","16,185","19,799","11,224","6,844","5,475","2,589",559,"96,515"
17,Exchange Contractors,,,,,,,,,,,,,
18,Central California ID (Abv CK 13),0,"1,037","2,127","1,733","2,157","1,982","2,011","1,777","1,471","1,193",2,0,"15,490"
19,Central California ID (Blw CK 13),0,"3,189","10,298",923,"2,913","15,845","24,131","7,881",420,421,160,39,"66,220"
20,Firebaugh Canal Co,245,139,198,728,"1,856","4,813","6,546","3,226",333,212,80,74,"18,450"
21,Total,245,"4,365","12,623","3,384","6,926","22,640","32,688","12,884","2,224","1,826",242,113,"100,160"
22,Refuges,,,,,,,,,,,,,
23,China Island Unit (CDFG) (76.05 & CCID),126,326,547,386,118,143,246,174,50,21,70,50,"2,257"
24,Los Banos WMA (CDFG) (76.05 & CCID),148,510,661,629,608,0,0,"1,418",558,362,96,51,"5,041"
25,Salt Slough Unit (CDFG) (76.05 & CCID),107,822,786,695,"1,007",0,0,720,385,190,90,54,"4,856"
26,Volta WMA (CDFG) (Volta Wasteway),87,415,0,0,0,0,42,"1,981","2,505","2,208",777,158,"8,173"
27,Grasslands WD (76.05 & CCID),90,"3,920",319,"1,326","9,285","2,337",302,"8,905","8,814","5,292",227,21,"40,838"
28,Grasslands WD (Volta Wasteway),193,549,0,"1,246","5,291",40,0,"1,556","15,705","11,126","2,210",201,"38,117"
29,Kesterson Unit (USFWS) (76.05 & CCID),54,455,505,387,898,269,189,122,219,302,69,38,"3,507"
30,Kesterson Unit (USFWS) (Volta Wasteway),0,0,0,0,0,0,0,0,0,0,0,0,0
31,Freitas Unit (USFWS) (76.05 & CCID),100,854,946,599,767,0,0,116,149,268,96,54,"3,949"
32,Total,905,"7,851","3,764","5,268","17,974","2,789",779,"14,992","28,385","19,769","3,635",627,"106,738"
33,Total DMC Deliveries,"1,950","17,299","22,702","17,581","37,613","41,614","53,266","39,100","37,453","27,070","6,466","1,299","303,413"
34,O'Neill Net Pumping,"87,719","57,151","86,474","-30,605","-83,292","-114,562","31,659","88,800","79,223","42,852","70,885","44,153","360,457"
35,DMC plus O'Neill Net Pumping,"89,669","74,450","109,176","-13,024","-45,679","-72,948","84,925","127,900","116,676","69,922","77,351","45,452","663,870"
