,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,SAN LUIS CANAL,,,,,,,,,,,,,
1,City of Avenal,144,145,147,176,221,,,,,,,,833
2,City of Coalinga,748,647,554,439,450,,,,,,,,"2,838"
3,City of Dos Palos,59,74,71,101,147,,,,,,,,452
4,City of Huron,42,46,51,64,77,,,,,,,,280
5,Pacheco WD,20,86,0,0,0,,,,,,,,106
6,Pacheco CCID Non-project (Hamburg),92,248,82,373,745,,,,,,,,"1,540"
7,Panoche WD,"1,206","3,290",777,"2,828","4,416",,,,,,,,"12,517"
8,San Luis WD,"1,438","4,140","1,871","5,508","8,830",,,,,,,,"21,787"
9,Westlands WD,"46,418","91,311","16,279","41,838","81,230",,,,,,,,"277,076"
10,Mendota WMA (CDFG) (via WWD Lateral 4),0,1,0,0,0,,,,,,,,1
11,Mendota WMA (CDFG) (via WWD Lateral 6),0,0,0,0,0,,,,,,,,0
12,Kern National Wildlife Refuge (USFWS),"4,438","2,823",0,62,193,,,,,,,,"7,516"
13,,,,,,,,,,,,,,0
14,Total,"54,605","102,811","19,832","51,389","96,309",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"324,946"
15,O'NEILL FOREBAY DELIVERIES,,,,,,,,,,,,,
16,O'Neill Forebay Wildlife,91,85,188,0,69,,,,,,,,433
17,San Luis WD Ag,56,378,251,357,700,,,,,,,,"1,742"
18,San Luis M&I,29,34,31,35,54,,,,,,,,183
19,VA Cemetery,2,1,5,37,74,,,,,,,,119
20,Total,178,498,475,429,897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,477"
21,CROSS VALLEY CANAL (See Notes 1 below),,,,,,,,,,,,,
22,County of Fresno (See Note 3 below),"1,330","13,378",0,0,0,,,,,,,,"14,708"
23,County of Tulare,0,0,0,0,0,,,,,,,,0
24,Lower Tule River ID (See Note 2 below),"6,755","5,745",0,0,0,,,,,,,,"12,500"
25,Pixley ID (See Note 2 below),"8,043","5,559",0,0,0,,,,,,,,"13,602"
26,Kern-Tulare WD (See Note 2 & 4 below),"10,770","13,576",0,0,0,,,,,,,,"24,346"
27,Hills-Valley ID,0,0,0,0,0,,,,,,,,0
28,Tri-Valley ID,0,0,0,0,0,,,,,,,,0
29,Total,"26,898","38,258",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"65,156"
30,SAN FELIPE DIVISION,,,,,,,,,,,,,
31,Santa Clara (including Casa De Fruta),489,"3,184","9,959","16,914","18,395",,,,,,,,"48,941"
32,San Benito,"1,456","4,377",347,27,584,,,,,,,,"6,791"
33,Total,"1,945","7,561","10,306","16,941","18,979",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"55,732"
