,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Sacramento River,,,,,,,,,,,,
1,Shasta computed inflow,23634.0,48920.0,20263.0,21123.0,10203.0,6001.0,4273.0,3526.0,3352.0,3485.0,5761.0,4120.0
2,At Keswick,20655.0,45378.0,17054.0,16422.0,10620.0,9720.0,9676.0,9528.0,8420.0,7481.0,5127.0,4468.0
3,At Bend Bridge,38930.0,66282.0,26913.0,25192.0,13612.0,12157.0,11392.0,11095.0,10061.0,8831.0,7338.0,5535.0
4,At Vina Bridge,47032.0,79427.0,31819.0,29182.0,14327.0,11199.0,10287.0,9996.0,8833.0,8168.0,7924.0,6414.0
5,At Ord Ferry,51598.0,75043.0,34245.0,29924.0,14079.0,9588.0,7367.0,7511.0,7677.0,6844.0,6622.0,4968.0
6,At Colusa,36271.0,45939.0,29281.0,28782.0,13181.0,9644.0,7439.0,7705.0,8010.0,6854.0,6885.0,5373.0
7,Below Wilkins Slough,24374.0,27082.0,23903.0,24198.0,13462.0,8116.0,5405.0,6207.0,7682.0,6549.0,6531.0,5346.0
8,At Verona,57055.0,72332.0,62574.0,57738.0,40569.0,21222.0,12253.0,17356.0,18651.0,11152.0,11284.0,11040.0
9,"Sacramento at ""I"" Street",61668.0,76667.0,65061.0,65683.0,48771.0,27451.0,15237.0,20352.0,21899.0,13573.0,13186.0,14551.0
10,Miscellaneous Stations,,,,,,,,,,,,
11,Folsom computed inflow,22387.0,35224.0,11331.0,14429.0,13890.0,7734.0,3044.0,2326.0,1943.0,1030.0,3258.0,2505.0
12,American R at Nimbus Dam,21925.0,34887.0,8336.0,12000.0,9593.0,6959.0,3873.0,3718.0,3524.0,2395.0,2064.0,3315.0
13,Kings River at Pine Flat,460.0,4227.0,7786.0,8907.0,8379.0,11257.0,8565.0,5413.0,3334.0,2717.0,777.0,458.0
14,San Joaquin River,,,,,,,,,,,,
15,At Friant Dam,4214.0,6946.0,7505.0,4168.0,4015.0,7420.0,1381.0,350.0,371.0,356.0,378.0,379.0
16,Near Vernalis,13698.0,29193.0,29119.0,23760.0,19531.0,14248.0,8978.0,5258.0,3280.0,2722.0,2046.0,2046.0
17,Putah Creek,,,,,,,,,,,,
18,Berryessa computed inflow,6582.0,6725.0,1100.0,951.0,175.0,44.0,0.0,0.0,0.0,0.0,105.0,0.0
19,Putah Creek - Lake Solano,296.0,2621.0,1482.0,915.0,84.0,43.0,43.0,34.0,26.0,22.0,47.0,36.0
20,Stanislaus River,,,,,,,,,,,,
21,New Melones computed inflow,6318.0,10321.0,4685.0,6026.0,7060.0,6277.0,2433.0,1350.0,1165.0,818.0,858.0,921.0
22,At Tulloch Dam,573.0,701.0,966.0,2822.0,5714.0,4460.0,2932.0,2768.0,1439.0,1204.0,1024.0,1323.0
23,At Orange Blossom,830.0,898.0,896.0,2420.0,4912.0,3195.0,1395.0,1409.0,399.0,797.0,898.0,1178.0
